# Clothing Advice Configuration - English
# Format: condition|neutral|cute|brutal|emuska
# Each line represents one weather condition with four personality modes
# Focus on specific clothing items only

blizzard|Layers: thermal base, winter jacket, balaclava, mittens, snow boots.|❄️🌨️ Layers! Thermal base, winter jacket, mittens, and snow boots!|Layers: thermal base, winter jacket, mittens, snow boots.|Bambulka, wear layers: thermal base, winter jacket, balaclava, mittens, and boots!
freezing|Puffer jacket, thermal socks, leather boots, knit hat, wool scarf.|🥶 Puffer jacket, thermal socks, cute knit hat, and warm scarf!|Puffer jacket, thermal socks, leather boots, knit hat.|Sweetheart, bundle up: puffer jacket, thermal socks, leather boots, and scarf!
cold|Puffer jacket, hoodie, jeans, leather boots, knit hat.|🧥 Cozy puffer jacket, hoodie, jeans, and ankle boots!|Puffer jacket, hoodie, jeans, boots.|Darling, wear your puffer jacket, hoodie, jeans, and boots!
cold_windy|Layers: fleece, softshell jacket, scarf, knit hat.|🌬️❄️ Layers! Fleece under softshell, scarf, knit hat, and boots!|Layers: fleece, softshell, scarf, hat, boots.|Pumpkin, wear layers: fleece, softshell, scarf, and boots!
rainy_cold|Rain jacket, hoodie, jeans, waterproof boots, knit hat.|🌧️🧥 Rain jacket over hoodie, jeans, waterproof boots, and warm hat!|Rain jacket, hoodie, jeans, waterproof boots.|Sweetie, stay dry and warm: rain jacket, hoodie, and waterproof boots!
snowing|Layers: fleece, winter jacket, mittens, snow boots.|❄️ Layers! Fleece, winter jacket, mittens, and snow boots!|Layers: fleece, winter jacket, mittens, snow boots.|Snowflake, wear layers: fleece, winter jacket, mittens, and boots!
mild|Light jacket, windbreaker, long pants, sneakers, baseball cap.|😊 Light jacket, comfy pants, sneakers, and cute baseball cap!|Light jacket, long pants, sneakers.|Honey, easy day: light jacket, pants, and sneakers!
sunny|T-shirt, lightweight pants, canvas shoes, sun hat.|🌞 T-shirt, light pants, canvas shoes, and sun hat!|T-shirt, pants, canvas shoes.|Darling, dress light: t-shirt, pants, and sun hat!
sunny_hot|Tank top, shorts, sandals, wide-brim sun hat.|🔥☀️ Tank top, shorts, cute sandals, and wide-brim hat!|Tank top, shorts, sandals, sun hat.|Sunshine, stay cool: tank top, shorts, sandals, and sun hat!
hot|Breathable sports shirt, shorts, canvas shoes, sun hat.|😎 Breathable shirt, shorts, canvas shoes, and sun hat!|Breathable shirt, shorts, canvas shoes.|Sweetheart, beat the heat: breathable shirt, shorts, and sun hat!
heatwave|Linen shirt, lightweight pants, flip-flops, wide-brim sun hat.|🌡️🔥 Linen shirt, light pants, flip-flops, and wide-brim hat!|Linen shirt, lightweight pants, flip-flops.|Buttercup, stay cool: linen shirt, light pants, and flip-flops!
raining|Rain jacket, long pants, umbrella, waterproof boots.|🌧️ Rain jacket, pants, cute umbrella, and waterproof boots!|Rain jacket, pants, umbrella, waterproof boots.|Dear, stay dry: rain jacket, umbrella, and waterproof boots!
heavy_rain|Waterproof jacket with hood, umbrella, waterproof boots.|⛈️ Heavy rain: waterproof jacket with hood, umbrella, and boots!|Waterproof jacket with hood, umbrella, boots.|Pumpkin, rain protection: waterproof jacket, umbrella, and boots!
windy|Windbreaker, long pants, sneakers, baseball cap (secured).|💨 Windbreaker, pants, sneakers, and secure that cap!|Windbreaker, pants, sneakers, secure cap.|Honey, wind protection: windbreaker, pants, and secure your cap!
stormy|Stay inside. If outside: waterproof jacket with hood, boots.|☕⛈️ Stay cozy inside! If you must go: waterproof jacket and boots!|Stay inside. Outside: waterproof jacket, boots.|Sweetheart, stay inside! If you must: waterproof jacket and boots!
thunderstorm|Stay inside. If outside: avoid metal, wear rubber-soled shoes.|⚡ Stay safe inside! If outside: rubber-soled shoes, avoid metal!|Stay inside. Outside: rubber soles only.|Dear, stay safe inside! If you must go out: rubber-soled shoes!
foggy|Bright-colored jacket, reflective gear, long pants, sneakers.|🌫️ Bright jacket with reflective gear, pants, and sneakers!|Bright jacket, reflective gear, pants, sneakers.|Pumpkin, be visible: bright jacket, reflective gear, and sneakers!
humid|Breathable sports shirt, lightweight shorts, canvas shoes.|💧 Breathable shirt, light shorts, and airy canvas shoes!|Breathable shirt, light shorts, canvas shoes.|Darling, stay comfortable: breathable shirt, light shorts, and shoes!
dry|Light jacket, long pants, sneakers. Carry: chapstick, water bottle.|🏜️ Light jacket, pants, sneakers, chapstick, and lots of water!|Light jacket, pants, sneakers, chapstick, water.|Honey, stay hydrated: light jacket, pants, water, and chapstick!
default|Light jacket, long pants, sneakers.|🌤️ Light jacket, comfy pants, and sneakers. You got this!|Light jacket, pants, sneakers.|Sweetheart, standard outfit: light jacket, pants, and sneakers! 
