# Clothing Advice Configuration - Spanish
# Format: condition|neutral|cute|brutal|emuska
# Each line represents one weather condition with four personality modes
# Focus on specific clothing items only

blizzard|Viste en capas: capa térmica, parka aislante, pasamontañas, manoplas, botas de nieve.|❄️🌨️ ¡Viste en capas! Capa térmica, parka aislante, manoplas y botas de nieve!|Capas: capa térmica, parka, manoplas, botas.|Bambulka, viste en capas: capa térmica, parka, pasamontañas, manoplas y botas!
freezing|Chaqueta acolchada, calcetines térmicos, botas de cuero, gorro tejido, bufanda de lana.|🥶 Chaqueta acolchada, calcetines térmicos, lindo gorro tejido y bufanda cálida!|Chaqueta acolchada, calcetines térmicos, botas de cuero, gorro.|Cariño, abrígate: chaqueta acolchada, calcetines térmicos, botas y bufanda!
cold|Chaqueta acolchada, sudadera con capucha, jeans, botas de cuero, gorro tejido.|🧥 Chaqueta acolchada acogedora, sudadera, jeans y botines!|Chaqueta acolchada, sudadera, jeans, botas.|Querida, ponte tu chaqueta acolchada, sudadera, jeans y botas!
cold_windy|Viste en capas: forro polar, chaqueta softshell, bufanda, gorro.|🌬️❄️ ¡Viste en capas! Forro polar bajo softshell, bufanda, gorro y botas!|Capas: forro polar, softshell, bufanda, gorro, botas.|Pumpkin, viste en capas: forro polar, softshell, bufanda y botas!
rainy_cold|Chaqueta impermeable, sudadera, jeans, botas impermeables, gorro tejido.|🌧️🧥 Chaqueta impermeable sobre sudadera, jeans, botas impermeables y gorro cálido!|Chaqueta impermeable, sudadera, jeans, botas impermeables.|Cariño, mantente seca y abrigada: chaqueta impermeable, sudadera y botas!
snowing|Viste en capas: forro polar, parka aislante, manoplas, botas de nieve.|❄️ ¡Viste en capas! Forro polar, parka aislante, manoplas y botas de nieve!|Capas: forro polar, parka, manoplas, botas.|Copito, viste en capas: forro polar, parka, manoplas y botas!
mild|Chaqueta ligera, rompevientos, pantalones largos, zapatillas, gorra de béisbol.|😊 Chaqueta ligera, pantalones cómodos, zapatillas y linda gorra!|Chaqueta ligera, pantalones largos, zapatillas.|Querida, día fácil: chaqueta ligera, pantalones y zapatillas!
sunny|Camiseta, pantalones ligeros, zapatos de lona, sombrero.|🌞 Camiseta, pantalones ligeros, zapatos de lona y sombrero!|Camiseta, pantalones, zapatos de lona.|Cariño, vístete ligera: camiseta, pantalones y sombrero!
sunny_hot|Camiseta sin mangas, shorts, sandalias, sombrero de ala ancha.|🔥☀️ Camiseta sin mangas, shorts, lindas sandalias y sombrero de ala ancha!|Camiseta sin mangas, shorts, sandalias, sombrero.|Solecito, mantente fresca: camiseta sin mangas, shorts, sandalias y sombrero!
hot|Camisa deportiva transpirable, shorts, zapatos de lona, sombrero.|😎 Camisa transpirable, shorts, zapatos de lona y sombrero!|Camisa transpirable, shorts, zapatos de lona.|Cariño, combate el calor: camisa transpirable, shorts y sombrero!
heatwave|Camisa de lino, pantalones ligeros, chanclas, sombrero de ala ancha.|🌡️🔥 Camisa de lino, pantalones ligeros, chanclas y sombrero de ala ancha!|Camisa de lino, pantalones ligeros, chanclas.|Pumpkin, mantente fresca: camisa de lino, pantalones ligeros y chanclas!
raining|Chaqueta impermeable, pantalones largos, paraguas, botas impermeables.|🌧️ Chaqueta impermeable, pantalones, lindo paraguas y botas impermeables!|Chaqueta impermeable, pantalones, paraguas, botas.|Querida, mantente seca: chaqueta impermeable, paraguas y botas!
heavy_rain|Chaqueta impermeable con capucha, paraguas, botas impermeables.|⛈️ Lluvia fuerte: chaqueta impermeable con capucha, paraguas y botas!|Chaqueta impermeable con capucha, paraguas, botas.|Pumpkin, protección contra lluvia: chaqueta impermeable, paraguas y botas!
windy|Rompevientos, pantalones largos, zapatillas, gorra de béisbol (asegurada).|💨 Rompevientos, pantalones, zapatillas y asegura esa gorra!|Rompevientos, pantalones, zapatillas, gorra asegurada.|Querida, protección contra viento: rompevientos, pantalones y asegura tu gorra!
stormy|Quédate adentro. Si sales: chaqueta impermeable con capucha, botas.|☕⛈️ Quédate cómoda adentro! Si debes salir: chaqueta impermeable y botas!|Quédate adentro. Afuera: chaqueta impermeable, botas.|Cariño, quédate adentro! Si debes salir: chaqueta impermeable y botas!
thunderstorm|Quédate adentro. Si sales: evita metal, usa zapatos con suela de goma.|⚡ Mantente segura adentro! Si sales: zapatos con suela de goma, evita metal!|Quédate adentro. Afuera: solo suelas de goma.|Querida, mantente segura adentro! Si sales: zapatos con suela de goma!
foggy|Chaqueta de color brillante, equipo reflectante, pantalones largos, zapatillas.|🌫️ Chaqueta brillante con equipo reflectante, pantalones y zapatillas!|Chaqueta brillante, equipo reflectante, pantalones, zapatillas.|Pumpkin, sé visible: chaqueta brillante, equipo reflectante y zapatillas!
humid|Camisa deportiva transpirable, shorts ligeros, zapatos de lona.|💧 Camisa transpirable, shorts ligeros y zapatos de lona aireados!|Camisa transpirable, shorts ligeros, zapatos de lona.|Cariño, mantente cómoda: camisa transpirable, shorts ligeros y zapatos!
dry|Chaqueta ligera, pantalones largos, zapatillas. Lleva: bálsamo labial, botella de agua.|🏜️ Chaqueta ligera, pantalones, zapatillas, bálsamo y mucha agua!|Chaqueta ligera, pantalones, zapatillas, bálsamo, agua.|Querida, mantente hidratada: chaqueta ligera, pantalones, agua y bálsamo!
default|Chaqueta ligera, pantalones largos, zapatillas.|🌤️ Chaqueta ligera, pantalones cómodos y zapatillas. ¡Tú puedes!|Chaqueta ligera, pantalones, zapatillas.|Cariño, outfit estándar: chaqueta ligera, pantalones y zapatillas! 
